popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
54,181839,FALSE,0.549,0.915,8,-4.726,1,0.0649,0.0374,0,0.247,0.903,94.871,4
19,454203,FALSE,0.505,0.75,4,-7.749,1,0.0647,0.0805,0.85,0.116,0.174,120.008,4
0,124240,FALSE,0.745,0.598,10,-6.053,1,0.0975,0.129,0,0.678,0.789,148.906,4
0,197106,FALSE,0.412,0.931,7,-6.348,1,0.0449,0.016,0,0.0772,0.295,148.813,4
36,218851,FALSE,0.816,0.864,7,-2.755,1,0.0714,0.175,0,0.0811,0.714,135.989,4
28,231093,FALSE,0.587,0.845,7,-6.175,0,0.0301,0.0283,0.00143,0.195,0.788,102.012,4
0,148571,FALSE,0.751,0.808,11,-6.237,0,0.0665,0.00112,0.0994,0.156,0.508,125.983,4
32,221300,FALSE,0.609,0.677,3,-7.774,0,0.216,0.582,0,0.0949,0.697,129.889,4
51,203661,FALSE,0.563,0.852,5,-4.928,1,0.058,0.194,0.000645,0.694,0.471,141.949,4
69,174193,FALSE,0.621,0.756,5,-5.623,1,0.114,0.0752,1.17E-06,0.65,0.265,124.039,4
32,168626,FALSE,0.819,0.773,1,-11.779,1,0.169,0.000598,2.79E-06,0.292,0.756,95.382,4
4,254920,TRUE,0.795,0.845,9,-3.809,0,0.135,0.105,1.14E-05,0.172,0.769,170.023,4
20,265773,FALSE,0.676,0.61,10,-7.044,0,0.278,0.0818,0,0.319,0.36,139.961,4
50,246464,FALSE,0.666,0.665,9,-8.448,0,0.0322,0.16,0,0.957,0.548,114.039,4
62,165779,FALSE,0.526,0.667,9,-5.451,1,0.0437,0.0505,0,0.321,0.43,155.085,4
17,287466,FALSE,0.455,0.887,9,-6.57,0,0.0342,3.08E-06,0.554,0.116,0.439,136.103,4
47,258812,FALSE,0.563,0.438,7,-8.971,1,0.0295,0.444,4.33E-06,0.0778,0.145,125.901,4
0,178480,FALSE,0.636,0.88,9,-2.853,1,0.137,0.296,2.97E-06,0.0793,0.228,98.855,4
24,244026,FALSE,0.634,0.692,0,-4.963,1,0.169,0.32,0,0.0785,0.643,78.515,4
2,112426,FALSE,0.382,0.937,0,-9.01,1,0.0758,0.0172,0,0.271,0.0957,108.729,4
30,246800,FALSE,0.665,0.567,0,-7.465,0,0.0342,0.504,0,0.112,0.204,122.003,4
54,241226,TRUE,0.31,0.991,1,-2.927,0,0.488,0.000619,0,0.11,0.187,76.372,4
20,174514,FALSE,0.427,0.992,5,-4.366,1,0.209,0.426,0.143,0.654,0.0648,175.02,3
0,218798,FALSE,0.248,0.572,10,-6.827,1,0.0429,0.278,0,0.139,0.228,205.458,3
59,231562,FALSE,0.799,0.929,0,-3.231,0,0.0668,0.253,0.000462,0.24,0.952,127.999,4
58,251026,FALSE,0.754,0.459,8,-5.947,1,0.11,0.00834,0,0.0742,0.829,78.079,4
1,318586,FALSE,0.351,0.827,6,-5.351,1,0.0412,0.000222,0.000118,0.0755,0.145,105.463,4
28,192133,FALSE,0.583,0.742,10,-3.791,1,0.129,0.221,0,0.0808,0.678,179.842,4
61,193103,FALSE,0.491,0.612,10,-5.761,1,0.0796,0.0699,0,0.0946,0.279,173.846,4
49,213193,TRUE,0.687,0.478,7,-7.286,1,0.149,0.48,6.82E-06,0.456,0.494,137.852,4
58,397026,FALSE,0.41,0.633,0,-6.989,1,0.0378,0.513,0,0.116,0.344,101.461,4
47,200600,FALSE,0.546,0.54,6,-5.879,0,0.0288,0.0292,0,0.11,0.453,87.967,3
55,196386,FALSE,0.37,0.755,8,-5.812,1,0.0552,0.204,0.0266,0.663,0.595,85.377,4
24,189586,FALSE,0.26,0.327,9,-11.502,1,0.035,0.795,0.00109,0.0995,0.238,137.326,4
0,144080,FALSE,0.691,0.776,0,-4.177,1,0.0341,0.458,1.68E-05,0.33,0.961,146.861,4
0,192266,FALSE,0.722,0.45,3,-7.503,0,0.0396,0.199,3.14E-06,0.0739,0.664,118.455,4
48,220792,FALSE,0.478,0.776,6,-5.457,0,0.0345,5.49E-05,1.70E-05,0.295,0.378,82.019,4
0,263750,FALSE,0.262,0.189,4,-17.926,0,0.0354,0.991,0.91,0.103,0.0589,68.953,3
53,192500,FALSE,0.553,0.594,2,-6.451,1,0.0306,0.298,6.17E-05,0.262,0.287,149.915,4
51,312186,FALSE,0.863,0.746,9,-8.987,0,0.186,0.339,0.00105,0.194,0.84,141.913,4
0,221173,TRUE,0.822,0.554,8,-6.528,1,0.131,0.331,0.000153,0.21,0.265,99.967,4
67,147200,FALSE,0.779,0.693,8,-6.033,0,0.0885,0.0832,0,0.0874,0.469,150.019,4
74,242000,FALSE,0.667,0.361,1,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,5
71,254516,FALSE,0.56,0.512,1,-7.185,0,0.0333,0.592,0,0.056,0.39,123.991,4
53,217546,FALSE,0.374,0.972,0,-2.306,0,0.105,7.92E-05,0,0.0706,0.627,194.091,4
61,199016,FALSE,0.708,0.461,5,-12.25,1,0.0288,0.165,0.000869,0.0865,0.592,92.015,4
47,252453,FALSE,0.791,0.269,9,-17.08,1,0.037,0.776,0.000202,0.124,0.591,110.017,4
39,214796,FALSE,0.599,0.941,7,-3.828,1,0.0899,0.00883,0,0.892,0.599,98.062,4
21,188139,FALSE,0.513,0.94,7,-5.243,1,0.0614,0.000292,5.01E-06,0.138,0.175,134.927,4
0,214720,FALSE,0.326,0.716,10,-3.547,1,0.0306,0.00227,0.00171,0.123,0.648,143.148,4
41,213426,FALSE,0.663,0.621,0,-10.973,1,0.0347,0.786,0.0516,0.214,0.973,162.034,4
54,136066,FALSE,0.718,0.593,0,-9.976,1,0.0377,0.67,0,0.172,0.869,124.251,4
52,260457,FALSE,0.499,0.915,1,-6.702,1,0.0438,0.000314,0.231,0.149,0.197,174.029,4
51,243600,FALSE,0.628,0.988,3,-3.971,0,0.101,0.0779,0.169,0.286,0.396,99.978,4
19,223280,FALSE,0.716,0.947,7,-6.244,1,0.0761,0.0548,0.000769,0.345,0.805,101.628,4
0,276866,TRUE,0.333,0.943,10,-4.184,0,0.149,0.00123,0,0.0609,0.292,164.979,4
10,150266,FALSE,0.468,0.205,1,-15.969,1,0.0277,0.873,3.17E-06,0.144,0.644,91.562,4
0,201000,FALSE,0.41,0.85,9,-6.209,0,0.0442,0.423,0.487,0.099,0.329,79.961,4
46,178500,FALSE,0.585,0.677,4,-6.79,0,0.0731,0.12,0,0.0912,0.845,99.577,4
21,193120,FALSE,0.611,0.636,4,-12.171,1,0.0273,0.0285,1.39E-06,0.07,0.969,133.483,4
17,219000,FALSE,0.668,0.305,9,-10.853,0,0.0271,0.849,0.000803,0.0703,0.488,106.99,4
61,308146,FALSE,0.523,0.445,10,-6.359,1,0.0329,0.188,0,0.18,0.336,78.957,4
21,207600,FALSE,0.532,0.927,0,-6.416,1,0.0334,0.217,0.0263,0.348,0.943,129.952,4
0,249866,FALSE,0.558,0.683,7,-6.061,1,0.0807,0.0248,7.85E-05,0.062,0.624,79.508,4
37,151119,FALSE,0.427,0.0749,8,-22.719,1,0.0364,0.961,0.948,0.109,0.152,73.236,3
18,406950,FALSE,0.702,0.611,8,-8.883,1,0.0334,0.000385,0.746,0.683,0.214,118.004,4
68,206546,FALSE,0.536,0.849,0,-4.702,1,0.0616,0.00318,0.00197,0.104,0.305,127.002,4
7,134360,FALSE,0.713,0.694,4,-8.52,0,0.0833,0.624,0.851,0.101,0.0362,129.869,4
71,264676,FALSE,0.325,0.867,4,-5.53,1,0.0809,0.00548,4.33E-06,0.103,0.336,144.866,4
44,245173,FALSE,0.653,0.723,0,-14.518,1,0.0806,0.0149,0.619,0.0485,0.78,159.017,4
29,265116,TRUE,0.494,0.995,1,-4.432,1,0.117,0.000527,0.346,0.146,0.311,107.53,4
74,184133,FALSE,0.738,0.794,11,-4.118,0,0.0416,0.101,0,0.0533,0.566,104.014,4
0,270773,FALSE,0.634,0.63,1,-8.277,0,0.031,0.447,0.0374,0.169,0.489,118.642,4
57,289196,FALSE,0.69,0.427,4,-6.831,1,0.0269,0.866,0,0.11,0.459,110.938,4
0,235524,FALSE,0.423,0.258,7,-18.83,0,0.0884,0.453,0.801,0.109,0.217,199.768,3
45,198133,FALSE,0.635,0.565,7,-5.223,1,0.0569,0.667,0,0.0569,0.923,146.095,3
46,203893,FALSE,0.473,0.785,2,-5.019,1,0.0298,0.0935,0,0.0813,0.376,183.991,4
59,232000,FALSE,0.588,0.178,8,-17.502,1,0.0489,0.877,0,0.107,0.358,129.763,4
0,183786,FALSE,0.752,0.904,8,-2.846,1,0.0701,0.0206,0,0.0723,0.526,98.034,4
56,89983,FALSE,0.691,0.895,0,-4.3,0,0.0756,0.0274,0,0.503,0.581,127.924,4
48,373186,FALSE,0.329,0.515,9,-11.252,0,0.0431,0.196,3.13E-06,0.0512,0.961,176.143,3
72,354880,TRUE,0.457,0.297,6,-12.511,1,0.0306,0.686,0.000107,0.109,0.333,120.021,4
60,315546,FALSE,0.719,0.645,2,-7.017,1,0.0343,0.171,1.12E-05,0.0934,0.711,118.983,4
0,173306,FALSE,0.661,0.576,6,-6.025,0,0.485,0.026,0,0.0623,0.924,123.425,5
0,269693,TRUE,0.659,0.961,6,-5.568,1,0.0829,0.000425,0.423,0.105,0.537,101.368,4
36,170745,FALSE,0.439,0.897,11,-5.845,0,0.0453,3.13E-05,0.0182,0.0712,0.426,170.075,4
0,191912,TRUE,0.561,0.599,2,-8.209,0,0.0749,0.00751,0.000701,0.316,0.264,125.874,4
0,220520,FALSE,0.332,0.429,7,-8.376,1,0.0287,0.356,3.10E-05,0.0619,0.242,128.091,4
0,190476,FALSE,0.628,0.724,0,-5.03,1,0.049,0.0925,0,0.0853,0.515,126.019,4
47,195889,TRUE,0.729,0.746,2,-5.129,1,0.0494,0.0788,2.15E-05,0.26,0.214,149.024,4
0,282026,FALSE,0.171,0.0367,7,-22.811,0,0.0435,0.808,0.332,0.122,0.0838,131.559,4
21,537640,FALSE,0.25,0.863,11,-11.353,1,0.11,2.86E-05,0.173,0.0823,0.366,157.613,4
16,220400,FALSE,0.461,0.991,6,-3.483,1,0.103,0.000364,0.85,0.0966,0.706,173.901,4
35,206706,FALSE,0.65,0.645,6,-8.278,1,0.0298,0.125,0,0.217,0.527,103.696,4
8,245386,FALSE,0.186,0.573,0,-19.173,1,0.192,0.496,0.896,0.102,0.0731,90.056,3
1,158594,FALSE,0.558,0.454,6,-5.335,1,0.0551,0.499,0,0.146,0.424,113.12,4
21,288000,FALSE,0.55,0.998,7,-0.46,1,0.0596,0.000299,0.67,0.194,0.263,119.985,4
21,360490,FALSE,0.66,0.584,3,-6.898,0,0.0363,0.402,0.000796,0.108,0.564,79.988,4
0,242573,FALSE,0.756,0.646,7,-5.795,1,0.319,0.152,1.81E-05,0.108,0.429,176.088,4
0,403809,FALSE,0.798,0.698,7,-7.823,1,0.0971,0.0285,0.837,0.686,0.202,125.994,4
63,232048,TRUE,0.88,0.575,6,-6.091,1,0.163,0.415,0,0.109,0.671,120.031,4
56,264493,FALSE,0.513,0.662,8,-6.058,1,0.0293,0.195,0,0.101,0.261,134.128,4
42,151219,FALSE,0.402,0.213,2,-13.662,0,0.0392,0.91,3.88E-05,0.357,0.146,145.91,4
23,277200,FALSE,0.574,0.992,1,-1.792,1,0.132,0.0151,6.83E-06,0.65,0.266,99.971,4
25,328746,FALSE,0.726,0.744,4,-10.266,0,0.0317,0.278,0.00177,0.475,0.967,124.988,4
54,155374,FALSE,0.766,0.39,10,-9.57,0,0.106,0.642,1.36E-06,0.114,0.462,95.038,4
44,201304,FALSE,0.561,0.903,7,-4.868,0,0.0463,0.00917,0.0613,0.188,0.084,138.081,4
68,356179,FALSE,0.718,0.697,2,-6.474,0,0.135,0.634,1.53E-05,0.0563,0.62,143.907,4
3,207856,FALSE,0.541,0.929,2,-4.298,1,0.0683,0.0189,0.677,0.241,0.154,160.051,3
62,191830,FALSE,0.483,0.321,10,-10.401,0,0.0719,0.82,0.000107,0.128,0.148,141.28,3
75,185875,FALSE,0.816,0.8,10,-5.705,0,0.0733,0.0283,6.03E-05,0.129,0.534,118.014,4
38,334310,FALSE,0.213,0.611,8,-7.892,1,0.0416,0.233,0,0.103,0.169,144.086,4
38,203506,FALSE,0.756,0.688,3,-9.638,1,0.0263,0.0248,0,0.214,0.716,135.009,4
70,315173,FALSE,0.7,0.343,2,-10.474,1,0.0308,0.767,0,0.0789,0.488,137.864,4
43,166840,FALSE,0.741,0.894,1,-7.648,1,0.0955,0.33,0.000149,0.109,0.964,175.132,4
50,228013,FALSE,0.343,0.131,9,-20.507,1,0.0319,0.981,0.903,0.07,0.177,104.798,4
0,190217,FALSE,0.609,0.801,1,-8.483,0,0.0694,0.0246,0.00255,0.37,0.202,122.958,4
43,224600,FALSE,0.529,0.564,4,-4.713,1,0.0247,0.668,0,0.196,0.594,160.445,3
13,429160,FALSE,0.773,0.53,0,-16.419,1,0.0383,0.000634,0.402,0.167,0.432,119.873,4
81,193749,FALSE,0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965,4
68,431093,FALSE,0.313,0.882,0,-6.215,1,0.0355,0.0346,0.338,0.45,0.3,103.981,4
18,256573,FALSE,0.463,0.338,0,-14.294,0,0.0388,0.7,0.657,0.342,0.0629,169.581,4
41,259720,FALSE,0.592,0.429,5,-10.355,1,0.0322,0.837,8.84E-05,0.133,0.426,149.845,4
1,177960,FALSE,0.346,0.589,7,-9.922,1,0.036,0.21,0.00703,0.15,0.638,189.486,4
79,173225,FALSE,0.764,0.532,9,-5.979,0,0.0491,0.598,0,0.26,0.859,123.95,4
47,201453,FALSE,0.42,0.936,1,-3.776,0,0.0811,0.000208,4.54E-06,0.359,0.674,160.032,4
57,257293,FALSE,0.261,0.562,8,-3.667,1,0.0301,0.423,7.54E-06,0.131,0.167,70.543,4
17,177974,FALSE,0.566,0.947,1,-4.402,1,0.0778,0.00144,0.000926,0.382,0.626,138.057,4
71,151293,FALSE,0.581,0.624,9,-8.346,1,0.0777,0.0987,0,0.0411,0.637,139.714,4
32,136000,FALSE,0.698,0.744,6,-3.082,1,0.158,0.0132,0.0261,0.214,0.56,100.667,3
54,246124,FALSE,0.608,0.932,1,-1.311,1,0.0752,0.0762,0,0.0572,0.722,199.99,4
20,174680,FALSE,0.737,0.934,7,-4.171,1,0.147,0.162,6.58E-05,0.233,0.614,104.965,4
20,182413,FALSE,0.487,0.958,7,-3.467,1,0.107,0.000552,9.74E-05,0.0784,0.678,170.075,4
59,192536,FALSE,0.669,0.684,7,-4.595,1,0.0585,0.252,0,0.72,0.466,96.097,4
51,180923,FALSE,0.679,0.968,2,-1.79,1,0.0744,0.012,0.728,0.0529,0.211,130.02,4
0,224760,TRUE,0.714,0.818,8,-6.016,0,0.0532,0.0724,0,0.115,0.541,92.004,4
21,105800,FALSE,0.562,0.829,1,-16.165,1,0.948,0.775,0,0.947,0.21,76.379,1
55,130188,FALSE,0.688,0.547,2,-8.754,1,0.0578,0.678,9.30E-05,0.111,0.0528,106.048,4
69,314239,FALSE,0.578,0.798,7,-6.01,1,0.0699,0.58,0,0.111,0.728,91.96,4
6,155999,FALSE,0.706,0.257,2,-15.147,1,0.0589,0.937,0.895,0.131,0.258,126.006,4
29,347161,FALSE,0.36,0.475,9,-18.628,0,0.133,0.263,0.00701,0.436,0.406,103.894,3
37,277280,TRUE,0.588,0.72,4,-9.752,0,0.0307,0.00712,0.000322,0.113,0.78,109.941,4
5,214289,FALSE,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.011,4
65,213576,FALSE,0.462,0.972,7,-2.642,0,0.138,0.00285,0,0.666,0.449,128.092,4
0,343701,FALSE,0.818,0.621,0,-12.274,1,0.0528,0.297,2.50E-05,0.111,0.642,117.343,4
12,436493,FALSE,0.781,0.38,10,-15.588,0,0.0451,0.204,0.934,0.109,0.0946,124.88,4
62,336733,FALSE,0.424,0.446,0,-8.526,1,0.0261,0.121,1.89E-06,0.0921,0.354,139.701,4
28,302133,FALSE,0.73,0.792,8,-7.315,1,0.045,0.784,5.63E-05,0.063,0.924,172.689,4
0,289548,FALSE,0.186,0.00432,7,-20.811,1,0.0366,0.926,0.963,0.0952,0.0286,57.23,4
46,528000,FALSE,0.526,0.923,6,-7.129,0,0.0727,0.00492,0.791,0.833,0.0365,144.999,4
21,265213,TRUE,0.41,0.994,2,-3.062,1,0.132,0.000164,0.000805,0.313,0.096,139.93,4
30,210226,FALSE,0.468,0.51,0,-5.944,1,0.029,0.821,0,0.108,0.51,95.703,4
60,108853,FALSE,0.689,0.313,0,-10.073,1,0.0366,0.789,0,0.144,0.625,133.754,4
16,70500,FALSE,0.54,0.906,11,-5.905,1,0.0497,0.0132,0.85,0.399,0.403,150.029,4
6,325859,FALSE,0.121,0.139,0,-24.034,1,0.0366,0.111,0.854,0.107,0.0393,96.548,3
16,281281,FALSE,0.753,0.864,10,-9.087,0,0.0475,0.000466,0.947,0.171,0.781,121.975,4
53,225197,TRUE,0.761,0.654,5,-7.326,0,0.214,0.0908,0,0.0709,0.469,145.063,4
53,275573,FALSE,0.508,0.981,4,-3.882,0,0.0629,0.000154,6.16E-05,0.833,0.381,131.026,4
24,150666,TRUE,0.27,0.95,1,-4.354,1,0.102,4.63E-05,0.451,0.523,0.238,111.167,4
44,122723,TRUE,0.938,0.566,11,-2.176,1,0.304,0.432,0.000301,0.142,0.791,129.93,4
7,601053,FALSE,0.564,0.159,11,-21.46,0,0.0309,0.000189,0.947,0.11,0.0971,122.866,5
73,197946,FALSE,0.575,0.571,1,-7.906,1,0.0439,0.0558,0,0.0912,0.449,105.049,4
29,237226,FALSE,0.731,0.949,9,-6.249,1,0.0291,0.0134,0.687,0.321,0.964,125.019,4
38,321000,FALSE,0.428,0.773,10,-5.181,1,0.0487,0.028,0,0.126,0.274,143.986,4
52,363433,FALSE,0.518,0.584,3,-7.951,0,0.032,0.0134,0.0215,0.0964,0.182,139.936,4
45,219215,FALSE,0.601,0.416,0,-9.821,1,0.0299,0.17,4.73E-05,0.0994,0.151,79.96,4
0,307920,FALSE,0.145,0.135,7,-16.841,1,0.0429,0.978,0.971,0.323,0.0535,77.975,3
19,384870,FALSE,0.612,0.814,7,-4.695,1,0.089,0.00112,0.853,0.104,0.228,144.803,4
45,183414,FALSE,0.491,0.828,11,-5.368,1,0.0311,0.0829,0,0.222,0.509,75.001,4
48,286875,FALSE,0.865,0.684,11,-6.552,1,0.114,0.009,0.606,0.105,0.0786,127.991,4
50,94650,FALSE,0.455,0.373,10,-12.854,1,0.0325,0.77,0.0443,0.0682,0.375,100.74,4
39,100000,FALSE,0.787,0.223,0,-12,1,0.0601,0.848,5.24E-05,0.0885,0.778,109.322,4
81,177826,TRUE,0.55,0.917,0,-3.159,1,0.0638,0.00428,0,0.197,0.601,126.115,4
60,203413,FALSE,0.552,0.915,4,-3.713,1,0.0559,0.0013,3.74E-05,0.206,0.606,90.013,4
30,205026,FALSE,0.754,0.642,11,-7.185,0,0.169,0.287,0,0.112,0.969,168.212,4
39,368386,FALSE,0.752,0.602,5,-9.475,0,0.0593,0.00189,0.916,0.0871,0.277,122.996,4
44,412356,FALSE,0.749,0.663,9,-7.825,0,0.0814,0.243,2.72E-05,0.587,0.944,150.639,4
60,170666,FALSE,0.741,0.739,0,-6.5,1,0.0428,0.0499,0,0.391,0.696,125.956,4
44,197179,TRUE,0.784,0.805,11,-5.767,0,0.111,0.35,1.14E-06,0.0907,0.557,109.995,4
61,115578,FALSE,0.399,0.136,3,-20.219,1,0.0307,0.985,0.895,0.156,0.396,100.195,3
25,169520,FALSE,0.303,0.74,0,-8.014,1,0.0402,0.431,0,0.245,0.671,69.434,4
30,125440,FALSE,0.534,0.559,0,-10.264,1,0.0682,0.63,0,0.362,0.868,147.101,4
19,208430,FALSE,0.631,0.261,2,-8.626,0,0.173,0.992,9.29E-05,0.0976,0.623,86.945,3
35,284333,FALSE,0.694,0.961,7,-3.2,1,0.154,0.175,0.000303,0.373,0.722,115.029,4
39,351546,FALSE,0.599,0.851,7,-4.705,0,0.0541,0.546,0,0.0879,0.713,182.986,4
8,238000,FALSE,0.189,0.532,7,-9.1,1,0.0691,0.405,0.874,0.0964,0.106,109.482,3
22,382826,FALSE,0.069,0.951,4,-2.357,1,0.11,4.05E-05,0.906,0.282,0.0323,78.763,3
45,171560,FALSE,0.523,0.827,2,-7.975,1,0.0406,0.553,0,0.798,0.443,93.026,4
64,249533,FALSE,0.824,0.366,7,-10.96,1,0.145,0.039,0.106,0.0403,0.895,73.949,4
25,330560,FALSE,0.504,0.58,2,-7.43,0,0.029,0.00821,0.000366,0.0805,0.255,88.024,4
58,164546,FALSE,0.431,0.54,9,-9.6,0,0.0589,0.523,1.34E-06,0.169,0.44,139.288,4
46,328115,FALSE,0.344,0.411,7,-11.077,1,0.0309,0.791,0.0181,0.0831,0.466,139.404,4
24,230575,FALSE,0.673,0.794,3,-3.991,0,0.23,0.0922,0.0401,0.048,0.333,129.995,4
23,428266,FALSE,0.524,0.951,4,-6.851,0,0.0559,0.00157,0.478,0.129,0.228,108.1,4
22,193920,FALSE,0.729,0.921,11,-5.175,0,0.0466,0.00574,0.0028,0.114,0.672,125.015,4
64,187918,FALSE,0.531,0.401,7,-8.384,1,0.0302,0.466,0,0.0923,0.208,106.178,4
55,169450,FALSE,0.472,0.849,4,-3.738,1,0.0315,0.00362,0,0.0973,0.31,144.065,4
37,249600,FALSE,0.494,0.828,5,-4.147,0,0.0387,0.00012,0.875,0.275,0.0787,100.002,4
0,269693,TRUE,0.659,0.961,6,-5.568,1,0.0829,0.000425,0.423,0.105,0.537,101.368,4
0,401977,FALSE,0.738,0.669,7,-9.579,1,0.0597,0.000429,0.91,0.102,0.25,126.998,4
38,163608,FALSE,0.735,0.89,0,-4.089,0,0.152,0.183,0,0.444,0.487,136.04,4
23,212493,FALSE,0.651,0.371,0,-8.62,1,0.0258,0.56,1.13E-05,0.112,0.589,78.718,4
44,210162,FALSE,0.6,0.608,2,-9.467,1,0.0475,0.205,0,0.797,0.305,141.679,4
2,271720,FALSE,0.78,0.725,6,-6.032,1,0.0503,0.288,0,0.0851,0.431,100.92,4
23,141053,FALSE,0.632,0.891,1,-4.265,1,0.04,0.343,3.01E-05,0.187,0.97,92.822,4
59,192533,FALSE,0.715,0.612,6,-7.865,0,0.0378,0.312,0.905,0.324,0.345,124.022,4
55,99474,FALSE,0.521,0.27,8,-17.214,1,0.34,0.142,0,0.334,0.345,103.144,1
42,162951,TRUE,0.733,0.84,1,-6.207,1,0.147,0.108,0,0.619,0.871,82.49,4
35,231453,FALSE,0.452,0.368,1,-5.736,1,0.036,0.51,0,0.117,0.553,147.415,4
47,111250,FALSE,0.614,0.942,7,-1.744,1,0.0541,7.55E-06,0.92,0.0978,0.345,122.992,4
0,181360,FALSE,0.582,0.705,3,-8.169,1,0.0539,0.29,1.38E-06,0.797,0.64,128.89,4
19,195160,FALSE,0.0844,0.351,4,-17.783,1,0.0516,0.73,0.723,0.0999,0.0368,83.57,4
64,192177,FALSE,0.631,0.696,0,-5.631,0,0.211,0.578,0,0.0784,0.927,173.537,4
71,203586,FALSE,0.516,0.991,11,-2.587,0,0.126,0.000467,4.66E-05,0.327,0.402,95.017,4
72,194426,FALSE,0.413,0.313,7,-13.138,1,0.0519,0.791,1.50E-06,0.0727,0.349,92.515,4
49,193205,FALSE,0.478,0.81,9,-4.67,1,0.0792,0.295,0,0.097,0.703,132.846,4
22,187045,FALSE,0.55,0.489,1,-8.932,1,0.507,0.413,0,0.106,0.306,67.651,3
45,285066,FALSE,0.861,0.708,4,-3.532,0,0.146,0.707,0,0.102,0.877,159.976,4
8,207761,FALSE,0.619,0.92,6,-6.381,1,0.0451,0.00517,0.888,0.361,0.113,124.02,4
